"Part";"Value";"Device";"Package";"Description";"";
"C1";"100pF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C2";"560pF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C3";"100uF";"CPOL-EUE2.5-7";"E2,5-7";"POLARIZED CAPACITOR, European symbol";"";
"C4";"1500pF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C7";"47uF";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";
"C8";"47uF";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";
"C9";"0.1uF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C10";"0.1uF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"IC1";"NJM2732";"LM358N";"DIL08";"OP AMP also LM158; LM258; LM2904";"";
"JP1";"";"PINHD-1X8";"1X08";"PIN HEADER";"";
"JP2";"";"PINHD-1X8";"1X08";"PIN HEADER";"";
"JP3";"";"PINHD-1X10";"1X10";"PIN HEADER";"";
"JP4";"";"PINHD-1X9";"1X09";"PIN HEADER";"";
"JP5";"RCA_HOT";"PINHD-1X2";"1X02";"PIN HEADER";"";
"JP6";"";"PINHD-1X6";"1X06";"PIN HEADER";"";
"JP7";"RCA_GND";"PINHD-1X2";"1X02";"PIN HEADER";"";
"JP8";"TP-VGND";"PINHD-1X1";"1X01";"PIN HEADER";"";
"JP9";"TP-GND";"PINHD-1X1";"1X01";"PIN HEADER";"";
"R1";"100k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";
"R2";"33k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";
"R3";"2.2k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";
"R4";"10k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";
"R5";"10k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";
"R6";"1.2k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";
"R7";"2.2k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";
"R9";"10k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";
"R10";"10k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";
"R13";"1k";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol";"";
